ID,tobacco_type,response
148,heated tobacco,.S
148,hookah,.S
148,smokeless tobacco,.S
150,cigar,.S
150,cigarette,.S
150,e-cigarette,0
150,heated tobacco,.S
150,hookah,.S
150,smokeless tobacco,.S
152,cigar,0
152,cigarette,0
152,e-cigarette,0
152,heated tobacco,.S
152,hookah,.S
152,smokeless tobacco,.S
156,cigar,.S
156,cigarette,8
156,e-cigarette,15
156,heated tobacco,0
156,hookah,19
156,smokeless tobacco,.S
158,cigar,.S
158,cigarette,.S
158,e-cigarette,.S
158,heated tobacco,.S
158,hookah,.S
158,smokeless tobacco,.S
160,cigar,.S
160,cigarette,.S
160,e-cigarette,.S
160,heated tobacco,.S
160,hookah,.S
160,smokeless tobacco,.S
164,cigar,.S
164,cigarette,.S
164,e-cigarette,.S
164,heated tobacco,.S
164,hookah,.S
164,smokeless tobacco,.S
166,cigar,.S
166,cigarette,.S
166,e-cigarette,.S
166,heated tobacco,0
166,hookah,.S
166,smokeless tobacco,.S
168,cigar,.S
168,cigarette,.S
168,e-cigarette,.S
168,heated tobacco,.S
168,hookah,.S
168,smokeless tobacco,.S
169,cigar,.S
169,cigarette,.S
169,e-cigarette,.S
169,heated tobacco,.S
169,hookah,.S
169,smokeless tobacco,.S
170,cigar,.S
170,cigarette,.S
170,e-cigarette,0
170,heated tobacco,0
170,hookah,.S
170,smokeless tobacco,.S
171,cigar,3
171,cigarette,0
171,e-cigarette,30
171,heated tobacco,0
171,hookah,1
171,smokeless tobacco,0
173,cigar,.S
173,cigarette,.S
173,e-cigarette,.S
173,heated tobacco,.S
173,hookah,.S
173,smokeless tobacco,.S
175,cigar,.S
175,cigarette,.S
175,e-cigarette,.S
175,heated tobacco,.S
175,hookah,.S
175,smokeless tobacco,.S
176,cigar,.S
176,cigarette,.S
176,e-cigarette,.S
176,heated tobacco,.S
176,hookah,.S
176,smokeless tobacco,.S
177,cigar,.S
177,cigarette,.S
177,e-cigarette,3
177,heated tobacco,.S
177,hookah,.S
177,smokeless tobacco,.S
178,cigar,.S
178,cigarette,.S
178,e-cigarette,.S
178,heated tobacco,.S
178,hookah,.S
178,smokeless tobacco,.S
