ID,tobacco_type,response
100,e-cigarette,2
100,heated tobacco,2
100,hookah,2
100,smokeless tobacco,2
102,cigar,2
102,cigarette,2
102,e-cigarette,1
102,heated tobacco,2
102,hookah,2
102,smokeless tobacco,2
103,cigar,2
103,cigarette,2
103,e-cigarette,2
103,heated tobacco,2
103,hookah,2
103,smokeless tobacco,2
104,cigar,2
104,cigarette,2
104,e-cigarette,2
104,heated tobacco,3
104,hookah,2
104,smokeless tobacco,2
106,cigar,1
106,cigarette,1
106,e-cigarette,1
106,heated tobacco,1
106,hookah,2
106,smokeless tobacco,2
108,cigar,2
108,cigarette,2
108,e-cigarette,1
108,heated tobacco,2
108,hookah,2
108,smokeless tobacco,2
109,cigar,1
109,cigarette,1
109,e-cigarette,1
109,heated tobacco,2
109,hookah,1
109,smokeless tobacco,2
111,cigar,2
111,cigarette,2
111,e-cigarette,2
111,heated tobacco,2
111,hookah,2
111,smokeless tobacco,2
113,cigar,2
113,cigarette,1
113,e-cigarette,2
113,heated tobacco,2
113,hookah,1
113,smokeless tobacco,2
114,cigar,1
114,cigarette,2
114,e-cigarette,2
114,heated tobacco,3
114,hookah,2
114,smokeless tobacco,2
115,cigar,1
115,cigarette,1
115,e-cigarette,1
115,heated tobacco,2
115,hookah,1
115,smokeless tobacco,2
116,cigar,2
116,cigarette,2
116,e-cigarette,2
116,heated tobacco,2
116,hookah,2
116,smokeless tobacco,2
117,cigar,1
117,cigarette,2
117,e-cigarette,1
117,heated tobacco,2
117,hookah,1
117,smokeless tobacco,2
118,cigar,2
118,cigarette,2
118,e-cigarette,1
118,heated tobacco,2
118,hookah,2
118,smokeless tobacco,2
119,cigar,2
119,cigarette,2
119,e-cigarette,2
119,heated tobacco,2
119,hookah,2
119,smokeless tobacco,2
120,cigar,2
120,cigarette,2
120,e-cigarette,1
120,heated tobacco,2
120,hookah,2
120,smokeless tobacco,2
121,cigar,2
121,cigarette,2
121,e-cigarette,1
121,heated tobacco,2
121,hookah,2
121,smokeless tobacco,2
122,cigar,2
122,cigarette,1
122,e-cigarette,1
122,heated tobacco,2
122,hookah,2
122,smokeless tobacco,2
123,cigar,2
123,cigarette,2
123,e-cigarette,1
123,heated tobacco,2
123,hookah,2
123,smokeless tobacco,2
124,cigar,2
124,cigarette,2
124,e-cigarette,1
124,heated tobacco,2
124,hookah,2
124,smokeless tobacco,2
127,cigar,2
127,cigarette,2
127,e-cigarette,1
127,heated tobacco,2
127,hookah,2
127,smokeless tobacco,2
128,cigar,1
128,cigarette,1
128,e-cigarette,1
128,heated tobacco,2
128,hookah,2
128,smokeless tobacco,2
129,cigar,1
129,cigarette,2
129,e-cigarette,1
129,heated tobacco,.N
129,hookah,1
129,smokeless tobacco,2
130,cigar,2
130,cigarette,2
130,e-cigarette,1
130,heated tobacco,1
130,hookah,2
130,smokeless tobacco,2
131,cigar,2
131,cigarette,2
131,e-cigarette,1
131,heated tobacco,3
131,hookah,2
131,smokeless tobacco,2
132,cigar,2
132,cigarette,2
132,e-cigarette,1
132,heated tobacco,2
132,hookah,2
132,smokeless tobacco,2
134,cigar,2
134,cigarette,2
134,e-cigarette,2
134,heated tobacco,2
134,hookah,2
134,smokeless tobacco,2
136,cigar,2
136,cigarette,2
136,e-cigarette,1
136,heated tobacco,3
136,hookah,2
136,smokeless tobacco,2
138,cigar,2
138,cigarette,2
138,e-cigarette,2
138,heated tobacco,2
138,hookah,2
138,smokeless tobacco,2
140,cigar,1
140,cigarette,1
140,e-cigarette,1
140,heated tobacco,2
140,hookah,2
140,smokeless tobacco,2
142,cigar,2
142,cigarette,2
142,e-cigarette,2
142,heated tobacco,2
142,hookah,2
142,smokeless tobacco,2
144,cigar,2
144,cigarette,2
144,e-cigarette,2
144,heated tobacco,2
144,hookah,2
144,smokeless tobacco,2
146,cigar,2
146,cigarette,2
146,e-cigarette,2
146,heated tobacco,2
146,hookah,2
146,smokeless tobacco,2
148,cigar,2
148,cigarette,2
148,e-cigarette,2
148,heated tobacco,2
148,hookah,2
148,smokeless tobacco,2
150,cigar,2
150,cigarette,2
150,e-cigarette,1
150,heated tobacco,2
150,hookah,2
150,smokeless tobacco,2
152,cigar,1
152,cigarette,1
152,e-cigarette,1
152,heated tobacco,2
152,hookah,2
152,smokeless tobacco,2
156,cigar,2
156,cigarette,1
156,e-cigarette,1
156,heated tobacco,3
156,hookah,1
156,smokeless tobacco,2
158,cigar,2
158,cigarette,2
158,e-cigarette,2
158,heated tobacco,2
158,hookah,2
158,smokeless tobacco,2
160,cigar,2
160,cigarette,2
160,e-cigarette,2
160,heated tobacco,2
160,hookah,2
160,smokeless tobacco,2
164,cigar,2
164,cigarette,2
164,e-cigarette,2
164,heated tobacco,2
164,hookah,2
164,smokeless tobacco,2
166,cigar,2
166,cigarette,2
166,e-cigarette,2
166,heated tobacco,3
166,hookah,2
166,smokeless tobacco,2
168,cigar,2
168,cigarette,2
168,e-cigarette,2
168,heated tobacco,2
168,hookah,2
168,smokeless tobacco,2
169,cigar,2
169,cigarette,2
169,e-cigarette,2
169,heated tobacco,2
169,hookah,2
169,smokeless tobacco,2
170,cigar,2
170,cigarette,2
170,e-cigarette,1
170,heated tobacco,1
170,hookah,2
170,smokeless tobacco,2
171,cigar,1
171,cigarette,1
171,e-cigarette,1
171,heated tobacco,1
171,hookah,1
171,smokeless tobacco,1
173,cigar,2
173,cigarette,2
173,e-cigarette,2
173,heated tobacco,2
173,hookah,2
173,smokeless tobacco,2
175,cigar,2
175,cigarette,2
175,e-cigarette,2
175,heated tobacco,2
175,hookah,2
175,smokeless tobacco,2
176,cigar,2
176,cigarette,2
176,e-cigarette,2
176,heated tobacco,2
176,hookah,2
176,smokeless tobacco,2
177,cigar,2
177,cigarette,2
177,e-cigarette,1
177,heated tobacco,2
177,hookah,2
177,smokeless tobacco,2
178,cigar,2
178,cigarette,2
178,e-cigarette,2
178,heated tobacco,2
178,hookah,2
178,smokeless tobacco,2
179,cigar,2
179,cigarette,2
179,e-cigarette,1
179,heated tobacco,2
179,hookah,2
179,smokeless tobacco,2
181,cigar,2
181,cigarette,2
181,e-cigarette,2
181,heated tobacco,2
181,hookah,2
181,smokeless tobacco,2
183,cigar,2
183,cigarette,2
183,e-cigarette,2
183,heated tobacco,2
183,hookah,2
183,smokeless tobacco,2
184,cigar,2
184,cigarette,2
184,e-cigarette,1
184,heated tobacco,2
184,hookah,2
184,smokeless tobacco,2
185,cigar,2
185,cigarette,2
185,e-cigarette,2
185,heated tobacco,2
185,hookah,2
185,smokeless tobacco,2
186,cigar,2
186,cigarette,2
186,e-cigarette,1
186,heated tobacco,2
186,hookah,2
186,smokeless tobacco,2
187,cigar,2
187,cigarette,1
187,e-cigarette,1
187,heated tobacco,2
187,hookah,2
187,smokeless tobacco,2
191,cigar,2
191,cigarette,1
191,e-cigarette,1
191,heated tobacco,2
191,hookah,2
191,smokeless tobacco,2
192,cigar,2
192,cigarette,2
192,e-cigarette,1
192,heated tobacco,2
192,hookah,2
192,smokeless tobacco,2
193,cigar,2
193,cigarette,2
193,e-cigarette,1
193,heated tobacco,2
193,hookah,2
193,smokeless tobacco,2
196,cigar,2
196,cigarette,2
196,e-cigarette,2
196,heated tobacco,2
196,hookah,2
196,smokeless tobacco,2
197,cigar,2
197,cigarette,2
197,e-cigarette,2
197,heated tobacco,2
197,hookah,2
197,smokeless tobacco,2
198,cigar,2
198,cigarette,2
198,e-cigarette,2
198,heated tobacco,2
198,hookah,2
198,smokeless tobacco,2
199,cigar,2
199,cigarette,2
199,e-cigarette,2
199,heated tobacco,2
199,hookah,2
199,smokeless tobacco,2
200,cigar,2
200,cigarette,2
200,e-cigarette,2
200,heated tobacco,2
200,hookah,2
200,smokeless tobacco,2
201,cigar,2
201,cigarette,2
201,e-cigarette,2
201,heated tobacco,3
201,hookah,2
201,smokeless tobacco,2
202,cigar,2
202,cigarette,2
202,e-cigarette,1
202,heated tobacco,2
202,hookah,2
202,smokeless tobacco,1
204,cigar,2
204,cigarette,2
204,e-cigarette,2
204,heated tobacco,2
204,hookah,2
204,smokeless tobacco,2
205,cigar,2
205,cigarette,2
205,e-cigarette,2
205,heated tobacco,2
205,hookah,2
205,smokeless tobacco,2
207,cigar,2
207,cigarette,2
207,e-cigarette,2
207,heated tobacco,2
207,hookah,2
207,smokeless tobacco,2
208,cigar,2
208,cigarette,2
208,e-cigarette,2
208,heated tobacco,2
208,hookah,2
208,smokeless tobacco,2
209,cigar,2
209,cigarette,2
209,e-cigarette,2
209,heated tobacco,2
209,hookah,2
209,smokeless tobacco,2
210,cigar,2
210,cigarette,2
210,e-cigarette,2
210,heated tobacco,2
210,hookah,2
210,smokeless tobacco,2
212,cigar,2
212,cigarette,1
212,e-cigarette,2
212,heated tobacco,2
212,hookah,2
212,smokeless tobacco,2
213,cigar,2
213,cigarette,2
213,e-cigarette,2
213,heated tobacco,2
213,hookah,2
213,smokeless tobacco,2
215,cigar,2
215,cigarette,2
215,e-cigarette,2
215,heated tobacco,2
215,hookah,2
215,smokeless tobacco,2
216,cigar,2
216,cigarette,2
216,e-cigarette,2
216,heated tobacco,2
216,hookah,2
216,smokeless tobacco,2
218,cigar,2
218,cigarette,2
218,e-cigarette,1
218,heated tobacco,2
218,hookah,2
218,smokeless tobacco,2
219,cigar,2
219,cigarette,2
219,e-cigarette,2
219,heated tobacco,2
219,hookah,2
219,smokeless tobacco,2
220,cigar,2
220,cigarette,2
220,e-cigarette,2
220,heated tobacco,2
220,hookah,2
220,smokeless tobacco,2
221,cigar,2
